project_name,seq_num,template,charge_type_1,charge_start_soc,charge_current_param_1,charge_current_param_2,charge_current_param_3,charge_current_param_4,charge_soc_param_1,charge_soc_param_2,charge_voltage_offset_1,charge_fast_soc_limit,charge_cutoff_voltage,charge_constant_voltage_time,charge_rest_time,discharge_constant_current,discharge_cutoff_voltage,discharge_rest_time,cell_temperature_nominal,cell_type,capacity_nominal,diagnostic_type,diagnostic_parameter_set,diagnostic_start_cycle,diagnostic_interval
RapidC,100,diagnosticV4.000,smooth,0.05,1.458544382,2.169107435,1.020659403,0.4564335209,0.1101804373,0.553316958,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,101,diagnosticV4.000,smooth,0.05,1.582981855,2.331279803,0.8784272513,0.800928741,0.2050972159,0.5902749951,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,102,diagnosticV4.000,smooth,0.05,0.7598407859,2.0733518,1.888658633,0.7523611197,0.2215130958,0.4812343505,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,103,diagnosticV4.000,smooth,0.05,1.126035129,2.429176321,1.694534307,1.068234632,0.2186139596,0.6433869589,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,104,diagnosticV4.000,smooth,0.05,1.30931689,2.438673844,1.219311484,0.9696398021,0.1184711176,0.7400385047,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,105,diagnosticV4.000,smooth,0.05,0.9210886149,2.155454102,0.5049370012,0.3563426788,0.2357967474,0.5328619609,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,106,diagnosticV4.000,smooth,0.05,1.66999571,1.958514209,1.678354531,1.450012665,0.1905874523,0.5708393435,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,107,diagnosticV4.000,smooth,0.05,1.034619576,1.710851373,1.286313348,1.124176974,0.247926294,0.4660980465,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,108,diagnosticV4.000,smooth,0.05,0.8547984647,1.619554019,1.579700241,0.9654739421,0.1272227857,0.6191895751,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,109,diagnosticV4.000,smooth,0.05,0.650657226,1.788344348,1.376416337,0.3638602448,0.1414287335,0.7250371242,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,110,diagnosticV4.000,smooth,0.05,1.74008584,1.876613414,0.6145505403,0.4643415104,0.280556101,0.6900980539,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,111,diagnosticV4.000,smooth,0.05,1.991231183,2.215737445,1.192355943,0.3990345099,0.1701741902,0.4026456357,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,112,diagnosticV4.000,smooth,0.05,1.888642028,1.919079068,1.347189288,0.6538082716,0.2699717762,0.4286332109,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,113,diagnosticV4.000,smooth,0.05,0.5550995387,2.261466877,0.9219321051,0.266688564,0.157693858,0.6762655,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,114,diagnosticV4.000,smooth,0.05,1.232535214,1.981365242,0.7254007619,0.2145562858,0.2914369912,0.5138145701,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,115,diagnosticV4.000,step,0.05,1.458544382,2.169107435,1.020659403,0.4564335209,0.1101804373,0.553316958,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,116,diagnosticV4.000,step,0.05,1.582981855,2.331279803,0.8784272513,0.800928741,0.2050972159,0.5902749951,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,117,diagnosticV4.000,step,0.05,0.7598407859,2.0733518,1.888658633,0.7523611197,0.2215130958,0.4812343505,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,118,diagnosticV4.000,step,0.05,1.126035129,2.429176321,1.694534307,1.068234632,0.2186139596,0.6433869589,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,119,diagnosticV4.000,step,0.05,1.30931689,2.438673844,1.219311484,0.9696398021,0.1184711176,0.7400385047,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,120,diagnosticV4.000,step,0.05,0.9210886149,2.155454102,0.5049370012,0.3563426788,0.2357967474,0.5328619609,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,121,diagnosticV4.000,step,0.05,1.66999571,1.958514209,1.678354531,1.450012665,0.1905874523,0.5708393435,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,122,diagnosticV4.000,step,0.05,1.034619576,1.710851373,1.286313348,1.124176974,0.247926294,0.4660980465,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,123,diagnosticV4.000,step,0.05,0.8547984647,1.619554019,1.579700241,0.9654739421,0.1272227857,0.6191895751,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,124,diagnosticV4.000,step,0.05,0.650657226,1.788344348,1.376416337,0.3638602448,0.1414287335,0.7250371242,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,125,diagnosticV4.000,step,0.05,1.74008584,1.876613414,0.6145505403,0.4643415104,0.280556101,0.6900980539,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,126,diagnosticV4.000,step,0.05,1.991231183,2.215737445,1.192355943,0.3990345099,0.1701741902,0.4026456357,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,127,diagnosticV4.000,step,0.05,1.888642028,1.919079068,1.347189288,0.6538082716,0.2699717762,0.4286332109,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,128,diagnosticV4.000,step,0.05,0.5550995387,2.261466877,0.9219321051,0.266688564,0.157693858,0.6762655,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,129,diagnosticV4.000,step,0.05,1.232535214,1.981365242,0.7254007619,0.2145562858,0.2914369912,0.5138145701,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,130,diagnosticV4.000,smooth,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21701,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,131,diagnosticV4.000,smooth,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21702,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,132,diagnosticV4.000,smooth,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21703,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,133,diagnosticV4.000,smooth,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21704,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,134,diagnosticV4.000,smooth,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21705,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,135,diagnosticV4.000,step,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21701,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,136,diagnosticV4.000,step,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21702,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,137,diagnosticV4.000,step,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21703,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,138,diagnosticV4.000,step,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21704,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,139,diagnosticV4.000,step,0.05,1.4,2.5,1.2,0.7,0.1,0.44,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21705,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,140,diagnosticV4.000,smooth,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21701,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,141,diagnosticV4.000,smooth,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21702,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,142,diagnosticV4.000,smooth,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21703,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,143,diagnosticV4.000,smooth,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21704,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,144,diagnosticV4.000,smooth,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21705,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,145,diagnosticV4.000,step,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21701,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,146,diagnosticV4.000,step,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21702,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,147,diagnosticV4.000,step,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21703,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,148,diagnosticV4.000,step,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21704,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,149,diagnosticV4.000,step,0.05,0.4,2,1.5,1,0.16,0.5,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21705,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,150,diagnosticV4.000,smooth,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21701,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,151,diagnosticV4.000,smooth,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21702,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,152,diagnosticV4.000,smooth,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21703,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,153,diagnosticV4.000,smooth,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21704,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,154,diagnosticV4.000,smooth,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21705,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,155,diagnosticV4.000,step,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21701,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,156,diagnosticV4.000,step,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21702,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,157,diagnosticV4.000,step,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21703,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,158,diagnosticV4.000,step,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21704,4.84,HPPC+RPT,Tesla21700,30,100
RapidC,159,diagnosticV4.000,step,0.05,1.07,2.13,0.55,0.55,0.275,0.65,0.01,0.8,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21705,4.84,HPPC+RPT,Tesla21700,30,100